airline,origin,destination,scheduled_dep_min,departure_hour,scheduled_duration,is_morning,is_afternoon,is_evening,is_night,operating_days_count,has_weekend_ops,has_peak_day_ops,route_delay_rate,airline_delay_rate,is_delayed,actual_dep_delay,route
GoAir,Goa,Hyderabad,1045,17,75,0,1,0,0,3,1,1,0.2736842105263158,0.2296103896103896,0,5,Goa_to_Hyderabad
GoAir,Goa,Delhi,720,12,165,0,1,0,0,1,1,0,0.2111801242236025,0.2296103896103896,1,72,Goa_to_Delhi
GoAir,Goa,Nagpur,730,12,90,0,1,0,0,1,1,0,0.25,0.2296103896103896,0,9,Goa_to_Nagpur
GoAir,Goa,Lucknow,370,6,180,1,0,0,0,7,1,1,0.0,0.2296103896103896,0,9,Goa_to_Lucknow
GoAir,Goa,Mumbai,660,11,90,1,0,0,0,1,1,0,0.22043010752688172,0.2296103896103896,0,9,Goa_to_Mumbai
GoAir,Goa,Mumbai,795,13,85,0,1,0,0,7,1,1,0.22043010752688172,0.2296103896103896,0,2,Goa_to_Mumbai
GoAir,Goa,Mumbai,1095,18,95,0,0,1,0,5,1,1,0.22043010752688172,0.2296103896103896,0,12,Goa_to_Mumbai
GoAir,Goa,Mumbai,1105,18,90,0,0,1,0,7,1,1,0.22043010752688172,0.2296103896103896,1,22,Goa_to_Mumbai
GoAir,Goa,Mumbai,5,0,75,0,0,0,1,7,1,1,0.22043010752688172,0.2296103896103896,0,2,Goa_to_Mumbai
GoAir,Goa,Mumbai,380,6,80,1,0,0,0,6,1,1,0.22043010752688172,0.2296103896103896,0,2,Goa_to_Mumbai
GoAir,Goa,Mumbai,400,6,80,1,0,0,0,7,1,1,0.22043010752688172,0.2296103896103896,0,12,Goa_to_Mumbai
GoAir,Goa,Mumbai,400,6,80,1,0,0,0,7,1,1,0.22043010752688172,0.2296103896103896,1,112,Goa_to_Mumbai
GoAir,Goa,Mumbai,405,6,75,1,0,0,0,6,1,1,0.22043010752688172,0.2296103896103896,1,19,Goa_to_Mumbai
GoAir,Goa,Ahmedabad,965,16,100,0,1,0,0,6,1,1,0.2222222222222222,0.2296103896103896,0,12,Goa_to_Ahmedabad
GoAir,Goa,Ahmedabad,1230,20,95,0,0,1,0,6,1,1,0.2222222222222222,0.2296103896103896,0,7,Goa_to_Ahmedabad
GoAir,Goa,Ahmedabad,1230,20,105,0,0,1,0,7,1,1,0.2222222222222222,0.2296103896103896,0,11,Goa_to_Ahmedabad
GoAir,Goa,Bengaluru,840,14,65,0,1,0,0,7,1,1,0.3090909090909091,0.2296103896103896,0,5,Goa_to_Bengaluru
GoAir,Goa,Bengaluru,840,14,70,0,1,0,0,7,1,1,0.3090909090909091,0.2296103896103896,0,7,Goa_to_Bengaluru
GoAir,Goa,Chennai,550,9,90,1,0,0,0,1,1,0,0.4,0.2296103896103896,0,7,Goa_to_Chennai
Air India,Goa,Delhi,1240,20,165,0,0,1,0,7,1,1,0.2111801242236025,0.22491664140648682,0,0,Goa_to_Delhi
Air India,Goa,Delhi,75,1,145,0,0,0,1,7,1,1,0.2111801242236025,0.22491664140648682,0,8,Goa_to_Delhi
Air India,Goa,Mumbai,1110,18,105,0,0,1,0,7,1,1,0.22043010752688172,0.22491664140648682,0,0,Goa_to_Mumbai
Air India,Goa,Mumbai,920,15,75,0,1,0,0,7,1,1,0.22043010752688172,0.22491664140648682,0,15,Goa_to_Mumbai
Air India,Goa,Mumbai,925,15,90,0,1,0,0,7,1,1,0.22043010752688172,0.22491664140648682,0,10,Goa_to_Mumbai
Air India,Goa,Surat,895,14,85,0,1,0,0,1,0,1,0.2608695652173913,0.22491664140648682,0,1,Goa_to_Surat
Air India Express,Goa,Hyderabad,1120,18,85,0,0,1,0,1,0,0,0.2736842105263158,0.2222222222222222,1,29,Goa_to_Hyderabad
Air India Express,Goa,Hyderabad,1145,19,80,0,0,1,0,7,1,1,0.2736842105263158,0.2222222222222222,0,6,Goa_to_Hyderabad
Air India Express,Goa,Hyderabad,1155,19,70,0,0,1,0,7,1,1,0.2736842105263158,0.2222222222222222,0,9,Goa_to_Hyderabad
Air India Express,Goa,Delhi,1385,23,165,0,0,0,1,7,1,1,0.2111801242236025,0.2222222222222222,0,0,Goa_to_Delhi
Air India Express,Goa,Delhi,905,15,160,0,1,0,0,7,1,1,0.2111801242236025,0.2222222222222222,0,2,Goa_to_Delhi
Air India Express,Goa,Delhi,500,8,155,1,0,0,0,6,1,1,0.2111801242236025,0.2222222222222222,0,13,Goa_to_Delhi
Air India Express,Goa,Delhi,995,16,165,0,1,0,0,7,1,1,0.2111801242236025,0.2222222222222222,0,0,Goa_to_Delhi
Air India Express,Goa,Delhi,1405,23,165,0,0,0,1,7,1,1,0.2111801242236025,0.2222222222222222,0,4,Goa_to_Delhi
Air India Express,Goa,Delhi,1190,19,170,0,0,1,0,7,1,1,0.2111801242236025,0.2222222222222222,1,86,Goa_to_Delhi
Air India Express,Goa,Mumbai,1205,20,75,0,0,1,0,7,1,1,0.22043010752688172,0.2222222222222222,1,145,Goa_to_Mumbai
Air India Express,Goa,Mumbai,340,5,75,0,0,0,1,7,1,1,0.22043010752688172,0.2222222222222222,1,16,Goa_to_Mumbai
Air India Express,Goa,Mumbai,840,14,75,0,1,0,0,7,1,1,0.22043010752688172,0.2222222222222222,0,8,Goa_to_Mumbai
Air India Express,Goa,Ahmedabad,1235,20,110,0,0,1,0,2,0,0,0.2222222222222222,0.2222222222222222,0,14,Goa_to_Ahmedabad
Air India Express,Goa,Bengaluru,390,6,90,1,0,0,0,1,0,1,0.3090909090909091,0.2222222222222222,0,11,Goa_to_Bengaluru
Air India Express,Goa,Bengaluru,465,7,75,1,0,0,0,1,0,1,0.3090909090909091,0.2222222222222222,0,3,Goa_to_Bengaluru
Air India Express,Goa,Bengaluru,1145,19,55,0,0,1,0,1,0,0,0.3090909090909091,0.2222222222222222,0,15,Goa_to_Bengaluru
Air India Express,Goa,Bengaluru,1160,19,60,0,0,1,0,6,1,1,0.3090909090909091,0.2222222222222222,0,14,Goa_to_Bengaluru
Air India Express,Goa,Bengaluru,1160,19,65,0,0,1,0,7,1,1,0.3090909090909091,0.2222222222222222,0,2,Goa_to_Bengaluru
Air India Express,Goa,Bengaluru,880,14,65,0,1,0,0,7,1,1,0.3090909090909091,0.2222222222222222,1,84,Goa_to_Bengaluru
Air India Express,Goa,Bengaluru,430,7,70,1,0,0,0,7,1,1,0.3090909090909091,0.2222222222222222,0,3,Goa_to_Bengaluru
Air India Express,Goa,Bengaluru,1210,20,80,0,0,1,0,6,1,1,0.3090909090909091,0.2222222222222222,0,2,Goa_to_Bengaluru
Air India Express,Goa,Indore,1205,20,85,0,0,1,0,7,1,1,0.11764705882352941,0.2222222222222222,0,5,Goa_to_Indore
Air India Express,Goa,Chennai,910,15,120,0,1,0,0,6,1,1,0.4,0.2222222222222222,0,0,Goa_to_Chennai
Jet Airways,Goa,Mumbai,1115,18,100,0,0,1,0,7,1,1,0.22043010752688172,0.25102880658436216,0,1,Goa_to_Mumbai
Jet Airways,Goa,Mumbai,1030,17,90,0,1,0,0,7,1,1,0.22043010752688172,0.25102880658436216,0,7,Goa_to_Mumbai
Jet Airways,Goa,Mumbai,875,14,75,0,1,0,0,7,1,1,0.22043010752688172,0.25102880658436216,1,86,Goa_to_Mumbai
Alliance Air (India),Goa,Hyderabad,1260,21,1310,0,0,1,0,4,1,1,0.2736842105263158,0.24661944623309723,1,56,Goa_to_Hyderabad
Alliance Air (India),Goa,Hyderabad,1285,21,110,0,0,1,0,2,1,1,0.2736842105263158,0.24661944623309723,1,135,Goa_to_Hyderabad
Alliance Air (India),Goa,Mysore,645,10,90,1,0,0,0,7,1,1,0.3333333333333333,0.24661944623309723,1,60,Goa_to_Mysore
Alliance Air (India),Goa,Mysore,1045,17,90,0,1,0,0,7,1,1,0.3333333333333333,0.24661944623309723,0,14,Goa_to_Mysore
Alliance Air (India),Goa,Mysore,1050,17,85,0,1,0,0,7,1,1,0.3333333333333333,0.24661944623309723,1,106,Goa_to_Mysore
Alliance Air (India),Goa,Mysore,1060,17,90,0,1,0,0,5,1,1,0.3333333333333333,0.24661944623309723,0,0,Goa_to_Mysore
Alliance Air (India),Goa,Mysore,1155,19,95,0,0,1,0,7,1,1,0.3333333333333333,0.24661944623309723,0,10,Goa_to_Mysore
Alliance Air (India),Goa,Mysore,1140,19,90,0,0,1,0,1,0,0,0.3333333333333333,0.24661944623309723,0,9,Goa_to_Mysore
